,Unnamed: 0,entropy0,entropy1,entropy2,DGRP,Sex,Abs_volume(mm3),Thorax_length,Mean_Ferret_diam(mm),Max_Ferret_diam(mm),H-Ratio,Batch,Replicate
58,58,1.6832307798657116,1.6551549974374478,1.7620943036367365,317,female,0.02132422,0.77,0.88836379,1.16536648,0.01829829531,,1
59,59,1.7595371720549906,1.7935477010430112,2.0666077098516125,304,male,0.01923304,0.81,0.91443266,1.04552008,0.01839566773,,1
60,60,1.8050198388178127,1.877284683141865,2.269648405885463,320,female,0.01594376,,0.97686259,1.17758032,0.01353942464,,1
61,61,1.6806284449176487,1.6918811949143522,1.6296191379063174,359,male,0.0246997432,,0.8627057659,1.044401374,0.02364966556,,1
62,62,1.7846813325425956,1.7819417300032696,2.016334805495728,439,female,0.019725716,,0.8453180115,0.9547905187,0.02065973176,,1
63,63,1.6755298811286636,1.729581790370354,2.0254577351565084,405,female,0.0224534431,,0.7566032361,0.8272136652,0.0271434625,,1
64,64,1.4728645204855848,1.7050170253287338,1.9623496232530329,309,female,0.01702781,,0.8105526,0.92589964,0.01839055689,,1
65,65,1.628318106940123,1.6918860528833586,1.9151264194865127,306,female,0.01855499,0.95,0.91286003,1.13552755,0.01634041376,,1
66,66,1.5885480766919493,1.5975537764022334,1.2609620918951223,732,female,0.0153461961,,0.8533644764,1.067043108,0.01438198325,,1
67,68,1.8839549899959984,1.7915754839051323,1.5715173687456938,100,female,0.01748322,,,,#DIV/0!,,2
68,68,1.8839549899959984,1.7915754839051323,1.5715173687456938,100,female,0.0182324945,,0.8451648438,0.9486337758,0.01921973997,,1
69,69,1.5539062775874184,1.6161852354385908,1.9479907022442775,350,female,0.02026866,0.79,0.93320369,1.12308199,0.01804735556,,1
70,70,1.8409817943643545,1.789449692400188,1.7399250475688592,75,male,0.0185646209,0.78,0.852359828,0.9484934713,0.01957274505,,1
71,71,1.7898049051418887,1.8350551122951315,2.143063820337934,228,male,0.01096186,,0.77995959,0.88271926,0.01241828574,,1
72,72,1.496643542866508,1.5780048653228764,1.880820237160316,354,female,0.01873408,,0.93407261,1.12291566,0.01668342572,,1
73,73,1.7992432106257883,1.8023598538652064,1.7638151537676487,105,male,0.0154688705,0.6845,0.7797672495,0.8434523122,0.01833994676,,1
74,74,1.7329939205983966,1.749400909280236,1.9059051719492168,256,female,0.01522535,0.67775,0.73126515,0.80621082,0.01888507277,,1
75,75,1.6857121237259092,1.750452255075395,2.01241943274662,75,female,0.0220673457,0.99,0.9566110528,1.112765302,0.01983108716,,1
76,76,1.7653178025567553,1.7870465690899986,1.4842606647738954,859,female,0.0204916945,,1.023463606,1.143754977,0.01791615767,,1
77,77,1.648351796258501,1.6984127324720135,1.837693356403375,850,female,0.0339360418,,0.9758112858,1.13870062,0.02980242673,,1
78,78,1.7135547078100777,1.7594412079200663,1.8313031975241851,595,female,0.0188063405,,0.8202825683,0.9138576567,0.0205790698,,1
79,79,1.7440063670398849,1.748195041161119,1.7984186166702698,517,female,0.0244638447,,0.9198723981,1.039000249,0.02354556192,,1
80,80,1.887813444087788,1.880075893459596,1.8770535296535809,439,male,0.0239338366,,0.8388895473,1.052936832,0.02273055313,,1
81,80,1.887813444087788,1.880075893459596,1.8770535296535809,439,male,0.0258284988,,0.8388895473,1.052936832,0.02452996041,,1
82,81,1.512165756301418,1.723421058657587,2.0245386490572086,350,male,0.01917012,0.72,1.05269147,1.16848528,0.01640595763,,1
83,82,1.6963142870432033,1.740979794028671,1.8712118212333515,195,female,0.0199004528,,0.8777711251,0.6080750816,0.03272696646,,1
84,83,1.509121381886097,1.6186942362142105,1.7440670069035342,321,male,0.0234509004,,0.894281983,1.078944283,0.02173504302,,1
85,84,1.6587250612277882,1.7040678890320469,1.6095341247617334,786,male,0.0213803833,0.64,0.8237911391,1.009212772,0.02118520881,,1
86,85,1.7246836381752535,1.754932328733856,1.861356406636883,335,female,0.01592112,,0.86997859,1.05151908,0.0151410662,,1
87,86,1.6501722149643392,1.6830903006621607,1.689623412730152,786,female,0.0187891288,0.72,0.9505429983,1.050392548,0.01788772097,,1
88,87,1.6964947419869845,1.7039677188609703,1.84310566824037,59,female,0.0219246132,,0.8270477167,1.176445583,0.01863631732,,1
89,89,1.638082227489798,1.6328630742502708,1.7929534157919884,790,male,0.0318944865,,0.8944173015,0.9999490936,0.03189611022,,1
90,90,1.7216043612282357,1.7131253063542444,1.7128636365162722,26,female,0.01991745,,0.4809055,0.62198279,0.03202250982,,1
91,91,1.9265771810465933,1.925771653439131,2.231002600505541,100,male,0.0141548097,,0.8007983118,0.9449956481,0.01497870358,,1
92,91,1.9265771810465933,1.925771653439131,2.231002600505541,100,male,0.02126572,,,,,,2
93,92,1.635827227651205,1.7036178253375789,2.051649440228116,208,female,0.01667873,,0.91770637,1.04298146,0.01599139643,,1
94,93,1.7135798862751288,1.7013527203844525,1.8266751712751808,395,male,0.0189767337,,0.882317489,0.9881609287,0.01920409232,,1
95,94,1.6544154438197691,1.6737257229883176,1.6323153446782008,802,male,0.01880512,0.79,0.77002522,0.93094444,0.02020004545,,1
96,95,1.7277408435478985,1.7259729228335026,1.8987759780975075,900,male,0.0182207339,,1.012515381,1.122450852,0.0162329904,,1
97,96,1.7674446500334402,1.6549388758522297,1.8562707045582465,859,male,0.0224717688,,0.8562107492,0.9474451488,0.02371827945,,1
98,97,1.5053154320139484,1.391550504079832,1.3413791561199244,332,female,0.01522101,,1.07280287,1.26297634,0.01205169845,,1
99,99,1.7540239426645037,1.7482523043240268,1.4286609852514398,26,male,0.01661247,,0.39188318,0.55437691,0.02996602077,,1
100,100,1.7363494977482374,1.755158672576166,1.873761886822531,309,male,0.01782592,,0.79052433,0.90433064,0.01971172844,,1
