DGRP,Length,Width,Height,HeightMax,AreaSq,AreaCube,Volume,HullArea,HullVolume,AreaRatio,VolumeRatio
584_male,104.0,155.0,107.0,126.0,3712905,568181,530415,41075.39882141092,639648.9999999995,90.39242725659464,0.8292282173504537
335_male,131.0,88.0,153.0,167.0,3449803,534498,492829,44409.69628456162,718491.6666666665,77.68130135128335,0.6859216645982905
317_female,151.0,149.0,113.0,137.0,4154136,645939,593448,50070.498634071155,809375.8333333319,82.96574057229903,0.7332168512567825
304_male,195.0,129.0,91.0,136.0,3746757,581237,535251,54903.78026504522,908052.8333333323,68.24224091515593,0.5894491821969984
320_female,154.0,82.0,191.0,191.0,3105977,483801,443711,46020.13246448456,682111.8333333337,67.49170055946705,0.6504959719459489
359_male,144.0,105.0,160.0,173.0,4050438,624507,578634,49043.22672440556,781683.6666666666,82.58914167212342,0.7402406173682364
439_female,174.0,149.0,93.0,118.0,3842734,591905,548962,49013.512130387324,781501.6666666662,78.4015230285362,0.7024450790252105
405_female,142.0,181.0,84.0,94.0,3313107,516601,473301,46154.39491905874,702722.6666666663,71.7831315048159,0.6735245957627669
309_female,144.0,129.0,109.0,130.0,3174794,496843,453542,42869.75898750265,667204.8333333329,74.05672611608367,0.6797642603008726
306_female,146.0,120.0,146.0,188.0,3614667,563984,516381,51238.43091312591,790806.6666666659,70.54601274048811,0.6529800794125835
732_female,166.0,160.0,83.0,100.0,2989567,474834,427081,44992.23098884203,612327.0000000002,66.44629382218024,0.6974721023244114
91_female,163.0,75.0,172.0,179.0,3510010,547180,501430,48885.234856837895,769930.6666666669,71.80102561190891,0.6512664343802385
100_female,149.0,195.0,89.0,101.0,3551842,555134,507406,54209.460638709585,869050.1666666667,65.5207035478918,0.5838627267585818
350_female,143.0,157.0,118.0,132.0,3948504,621217,564072,51239.58162033684,889758.0000000015,77.05964559306337,0.6339611444909728
75_male,166.0,186.0,77.0,80.0,3616543,566345,516649,53584.99813178888,879849.1666666671,67.49170712118611,0.5872017836390515
228_male,125.0,115.0,84.0,98.0,2135462,333901,305066,30953.2095498183,411466.33333333343,68.99000236350403,0.7414118125500748
354_female,146.0,111.0,173.0,185.0,3649555,575260,521365,52379.830113074546,888565.6666666651,69.67481551814032,0.5867489815984348
105_male,92.0,108.0,136.0,150.0,3013465,467435,430495,39188.910452381126,576351.8333333334,76.89586072217277,0.7469309111245995
256_female,130.0,167.0,53.0,74.0,2966026,461635,423718,40089.889786366104,589488.6666666662,73.98438897701074,0.7187890522068284
75_female,169.0,110.0,196.0,207.0,4298903,670536,614129,62617.350732349616,1104604.333333334,68.65354330264063,0.5559719272028926
859_female,135.0,152.0,155.0,158.0,3991953,619065,570279,54503.114673648175,950943.6666666652,73.24265822059667,0.5996979842128758
850_female,144.0,120.0,189.0,196.0,6611024,1012026,944432,69852.51038458175,1517144.6666666644,94.64261146238236,0.6225062255104664
595_female,156.0,166.0,90.0,108.0,3663632,568856,523376,49173.566055388306,769651.833333333,74.50409425001523,0.6800165702630477
517_female,123.0,149.0,135.0,152.0,4765761,728974,680823,52133.97297075675,967841.4999999995,91.41373136233516,0.7034447272616439
439_male,149.0,76.0,188.0,197.0,4662511,715041,666073,55484.1802872031,949999.333333335,84.03316000822967,0.7011299657052379
350_male,133.0,120.0,146.0,155.0,3734500,583075,533500,46148.15937641168,768683.1666666659,80.9241376137932,0.6940440784120209
195_female,162.0,167.0,98.0,112.0,4008214,620117,572602,50851.74939880191,847397.3333333334,78.82155574562073,0.6757184351142635
48_male,140.0,137.0,101.0,115.0,2815792,440355,402256,39668.0621773603,573277.1666666669,70.98385566227769,0.7016780422965853
321_male,130.0,194.0,88.0,99.0,3472385,548108,496055,51544.84594798267,831059.5000000002,67.3662892213164,0.5968946868425183
786_male,113.0,159.0,128.0,134.0,4165077,642343,595011,49462.145957707515,823199.6666666674,84.20736543783076,0.7228027708142084
335_female,123.0,94.0,145.0,159.0,3101567,481476,443081,39516.730379522356,576520.3333333343,78.48743988210214,0.7685435783993729
786_female,151.0,120.0,115.0,154.0,3660279,568323,522897,48818.531590321014,781830.5000000013,74.97724492650867,0.6688112065211055
59_female,161.0,161.0,84.0,107.0,4271722,653928,610246,50063.73451900488,837225.666666666,85.32567618139625,0.7288906973309074
832_female,128.0,106.0,167.0,167.0,4376596,671319,625228,48198.662886967926,805373.166666667,90.80326585539689,0.7763208732018426
93_female,143.0,76.0,192.0,192.0,3968937,613346,566991,51333.57762296997,858892.3333333329,77.31658660439908,0.6601421132722498
790_male,137.0,176.0,86.0,113.0,6213312,947068,887616,58849.28662226649,1114143.6666666677,105.58007338102723,0.7966800212180888
26_female,127.0,179.0,94.0,119.0,4239116,653541,605588,50165.26360557456,829512.8333333334,84.5030145426951,0.7300525991460449
21_female,154.0,186.0,61.0,64.0,3472175,540522,496025,47315.950114630345,718283.6666666667,73.38275975835018,0.6905697888160248
100_male,168.0,123.0,98.0,112.0,2757475,428946,393925,41315.81859360818,602358.4999999993,66.74138608079276,0.653971015599515
21_male,143.0,149.0,109.0,118.0,3591196,553804,513028,43932.48722759581,676439.1666666663,81.74351662348452,0.7584244456572227
208_female,140.0,139.0,127.0,162.0,3249155,507963,464165,50064.46735858302,795821.4999999999,64.89942211365536,0.5832526515053942
395_male,152.0,125.0,101.0,134.0,3696826,570892,528118,47101.191394559566,746511.5000000005,78.48688940864037,0.7074479093758096
802_male,160.0,126.0,104.0,117.0,3663394,568304,523342,46668.47505801904,740109.8333333324,78.49825809490468,0.7071139666432401
900_male,144.0,139.0,89.0,127.0,3549798,546446,507114,45422.336193834046,723561.6666666665,78.15093404380805,0.7008580240799565
859_male,128.0,148.0,136.0,161.0,4377688,673696,625384,52016.21258088015,886308.8333333336,84.16006823244044,0.705605062795079
332_female,105.0,115.0,110.0,148.0,2965179,468436,423597,37495.569129936994,548559.8333333331,79.08078391141312,0.7721983533245692
486_male,144.0,90.0,132.0,165.0,3049585,485315,435655,44058.09076557361,611719.3333333327,69.21736614113347,0.7121811854892066
26_male,144.0,96.0,166.0,166.0,4109847,633355,587121,47858.52716316258,796134.8333333344,85.87491599957573,0.7374642779311451
309_male,147.0,159.0,90.0,93.0,3472637,537388,496091,44017.74220430581,678524.1666666678,78.89175650768173,0.7311323964142754
