DGRP	sex	mean_frac	mean_ls	mean_ns_frac	mean_ns_ls	cohen.d_frac	p.value_frac	cohen.d_ls	p.value_ls	LSM_frac	LSM_frac_se	LSM_ls	LSM_ls_se	KL_frac	KL_ls	en_s_frac	en_ns_frac	en_s_ls	en_ns_ls
DGRP_765	F	0.291184686459191	-0.652591694185795	0.324174814072031	-0.697548213564652	0.343217911947897	0.365418959282721	-0.0337572305307588	0.924573102928257	-0.0103030798714073	0.032561259621511	-0.129124329145621	0.527841668172248	0.656224842608802	0.106589533267698	1.09130300064685	0.853236150555778	1.46147212930402	1.4740568252732
DGRP_776	NA	0.288377111083447	0.633231083492786	0.316569152246981	0.00352453884598645	0.3675714596918	0.15994381777147	-0.249056332303957	0.325240250747903	0.0162467739348209	0.0222038128211724	0.21881688253023	0.528062727230478	0.169172460507794	0.726481512817233	1.37377408764466	1.43131050213501	2.0291338091975	1.68906519963249
DGRP_776	M	0.260869226938877	1.66309497725551	0.292870036101083	0.360955433655118	0.519369420475499	0.152522367448107	-0.482500746232498	0.18593246210417	0.00139324600279854	0.0291911338026222	0.21881688253023	0.528062727230478	0.0720608060047002	0.214115902458066	0.621086374555245	0.693147180559945	1.5437891850589	1.40139264660812
DGRP_776	F	0.319814692962956	-0.396632810269938	0.343653856413722	-0.377735082283753	0.284854483132641	0.457829717516133	0.00881464042751002	0.98094836580007	0.0391477291515585	0.0330855729661109	0.21881688253023	0.528062727230478	0.0449438015455575	2.03538454988863	0.89820533970415	0.876005765643174	1.39173976951833	0.72012488127181
DGRP_855	NA	0.205248542311885	0.76866595479149	0.293247198528182	-0.322453973762507	0.813283457498397	0.0032121009001429	-0.601808180398767	0.0235137366766833	0.05912110215608	0.0222493208352678	0.676537807312835	0.537429660023767	3.55227111921256	0.949930290220072	1.73928111451952	1.43876608555096	2.0889425675274	1.77947188767574
DGRP_855	M	0.228764963085083	0.57527814269886	0.253077437698612	-0.0366320348054816	0.216125989483711	0.578794456531195	-0.366595786244784	0.316812775444629	0.0173290654576602	0.0300774389215216	0.676537807312835	0.537429660023767	4.92543819347067	2.70721423441511	1.23965939205439	0.500402423538188	1.53672246943722	1.25115598336363
DGRP_855	F	0.183299882923566	0.949161246077945	0.333416959357752	-0.608275912719533	1.55103497856468	0.000223725713488232	-0.791414651713948	0.0405660119583873	0.0991136955921912	0.0321235410921636	0.676537807312835	0.537429660023767	2.70161609989362	0.0512433861577782	1.00961375817404	0.990835386443849	1.43682866896303	1.42444277850362
DGRP_382	NA	0.230284164225636	0.836197175158601	0.314048406187503	0.544377311745109	0.735413890195819	0.0098283495349298	-0.114448429612588	0.669063378703262	0.0478174682010706	0.022372873423945	0.037288319430851	0.561009839436641	2.14515930066214	1.62170332019683	1.7315431803247	1.59693419970254	1.96760652868186	1.85883197963812
DGRP_382	M	0.251683604750827	0.908731394119181	0.287069915513653	-1.00151334244647	0.391306898925397	0.316253953050779	-1.0413964006206	0.0157217346537662	0.0214705381370609	0.0301221056377827	0.037288319430851	0.561009839436641	1.23771963941309	0.212003698957959	0.992281974852574	0.661563238157982	1.43275705299709	1.51108617607361
DGRP_382	F	0.20531815027958	0.751573919704591	0.344880966957617	2.31110948796406	1.03934970971169	0.0160393910487957	0.577916666966256	0.149694757715816	0.0772275768457235	0.0325780317005696	0.037288319430851	0.561009839436641	3.36466862551142	0.352836436663471	1.09861228866811	1.06094424079075	1.2366848691405	1.57409733684897
DGRP_627	NA	0.248746358077886	0.155454313357547	0.285461036562846	-0.34013699186241	0.320108068744797	0.220741881942753	-0.223603347283721	0.379131127731985	0.0441285601031597	0.0222707933634743	0.180399039845088	0.528530896205646	1.37485825127537	0.318712495966407	1.8032329817357	1.59252974415371	1.74474560075219	1.79044099608694
